Query	Gene	cor	pvalue
FABP4	PARK7	-0.541353383458647	2.24808292699877e-05
FABP4	SRM	-0.503007518796993	9.68768436947679e-05
FABP4	PADI2	0.512576896787423	6.82809088703718e-05
FABP4	RHBDL2	0.573137388926863	5.91592102630269e-06
FABP4	TSPAN1	0.513738892686261	6.53986555965537e-05
FABP4	GBP3	0.544429254955571	1.98558822990614e-05
FABP4	RP11-48O20.4	0.640205165619413	1.07795133261454e-07
FABP4	KCNK1	0.533492822966507	3.07272147305442e-05
FABP4	PPM1G	-0.511073137388927	7.21850232029834e-05
FABP4	MPHOSPH10	-0.511141490088859	7.20031854547901e-05
FABP4	KIAA1211L	0.531168831168831	3.36569715576501e-05
FABP4	SETMAR	-0.535338345864662	2.85712583361121e-05
FABP4	ALS2CL	0.564183185235817	8.71853630224369e-06
FABP4	UBA7	0.64149008885851	2.30187702948224e-07
FABP4	PARP14	0.505536568694463	8.84037178818591e-05
FABP4	RTP4	0.552547040838458	1.00824951222125e-05
FABP4	AC069213.1	0.508680792891319	7.88228222427603e-05
FABP4	MUC20	0.571223513328776	6.43214839883339e-06
FABP4	MUC4	1	0
FABP4	FGFBP1	0.538004101161996	2.57041559458018e-05
FABP4	BTC	0.50123034859877	0.000103271734831379
FABP4	SHROOM3	0.561175666438824	9.9109703086402e-06
FABP4	DAPP1	0.615037593984962	8.56039352770556e-07
FABP4	TMEM171	0.506015037593985	8.68796674503095e-05
FABP4	C5orf56	0.556117566643882	1.22667857335905e-05
FABP4	PCDH1	0.502323991797676	9.92919608397871e-05
FABP4	ARHGEF37	0.525632262474368	4.17121317620641e-05
FABP4	SERPINB6	0.504853041695147	9.06237091547299e-05
FABP4	BTN3A1	0.584073820915926	3.63856396985468e-06
FABP4	BTN3A3	0.538277511961722	2.54257348832864e-05
FABP4	HLA-G	0.555639097744361	1.25148511593169e-05
FABP4	RNF39	0.594531784005468	2.2575451290194e-06
FABP4	TRIM31-AS1	0.598838004101162	1.84831407034354e-06
FABP4	PSORS1C1	0.505126452494874	8.97296191641772e-05
FABP4	HLA-B	0.508612440191388	7.90204930768976e-05
FABP4	HLA-S	0.640224784066249	1.07668271326628e-07
FABP4	PSMB8	0.521394395078606	4.9046841474797e-05
FABP4	STEAP4	0.579562542720437	4.4536735993705e-06
FABP4	CPSF4	-0.582775119617225	3.85748606239522e-06
FABP4	PINX1	-0.50457963089542	9.15260027520393e-05
FABP4	PARP10	0.51660970608339	5.87526690062242e-05
FABP4	GLIS3-AS1	0.565243774975711	5.65747730032164e-06
FABP4	DCAF10	0.616267942583732	8.06557942733133e-07
FABP4	LCN2	0.579289131920711	4.50823812004624e-06
FABP4	CELF2	0.511073137388927	7.21850232029824e-05
FABP4	ALOX5	0.535611756664388	2.82640783955755e-05
FABP4	GPRIN2	0.594121667805878	2.30071962545446e-06
FABP4	NPY4R	0.582814957954737	2.44177456164535e-06
FABP4	EHF	0.530553656869446	3.44747649661922e-05
FABP4	RARRES3	0.520642515379357	5.04666233311205e-05
FABP4	GPRC5A	0.512645249487355	6.81081700733763e-05
FABP4	RP11-695J4.2	0.518746817062689	4.20663591647902e-05
FABP4	SMARCD1	-0.525017088174983	4.27097229624649e-05
FABP4	GTF3A	-0.521531100478469	4.87927049694219e-05
FABP4	TEX30	-0.554682159945318	1.30251090385812e-05
FABP4	C15orf48	0.578263841421736	4.71852032946057e-06
FABP4	CDRT1	0.525632262474368	4.17121317620641e-05
FABP4	UBB	-0.514695830485304	6.31098616152728e-05
FABP4	MMP28	0.506698564593301	8.47444361051747e-05
FABP4	DHX58	0.616541353383459	7.95940354076107e-07
FABP4	RNF213	0.53444976076555	2.95911403581841e-05
FABP4	DSG3	0.535611756664388	2.82640783955755e-05
FABP4	SERPINB5	0.514832535885167	6.2788999815084e-05
FABP4	FUT3	0.509774436090226	7.5721486060806e-05
FABP4	HSH2D	0.538209159261791	2.54950761090744e-05
FABP4	FXYD3	0.572522214627478	6.07744295006217e-06
FABP4	KCNN4	0.53444976076555	2.95911403581841e-05
FABP4	KLK10	0.561722488038278	9.68339017483135e-06
FABP4	COX6B2	0.543267259056733	2.08120374337348e-05
FABP4	APOL6	0.615105946684894	8.53215755365456e-07
FABP4	APOL1	0.545591250854409	1.89407652324362e-05
